contact_key,contact_id,first_name,last_name,full_name,email,phone,city,postal_code,country,is_active
1,CON-00001,Danielle,Johnson,Danielle Johnson,john21@example.net,001-581-896-0013x3890,South Bridget,01352,Spain,True
2,CON-00002,Katherine,Moore,Katherine Moore,jpeterson@example.org,001-851-316-1559x40781,Mariastad,76175,Spain,True
3,CON-00003,James,Jones,James Jones,kendragalloway@example.org,664-375-2553,New Jessica,21918,Spain,True
4,CON-00004,Steven,Nelson,Steven Nelson,gabriellecameron@example.org,505.964.1395,Wilkersonmouth,19227,Spain,True
5,CON-00005,Joseph,Wright,Joseph Wright,julie69@example.com,(332)887-1012x269,Carlsonmouth,69853,Spain,True
6,CON-00006,John,Tran,John Tran,frazierdanny@example.net,001-645-514-6270x48281,West Kathryn,71198,Spain,True
7,CON-00007,Stephanie,Nielsen,Stephanie Nielsen,georgetracy@example.org,(443)903-9117x182,West Allison,80008,Spain,True
8,CON-00008,Rodney,Lewis,Rodney Lewis,jenniferross@example.net,+1-557-587-1331x5098,North Jeanton,30508,Spain,True
9,CON-00009,Carlos,Johnson,Carlos Johnson,chad34@example.net,838.729.9737x6311,Jenkinston,88760,Spain,False
10,CON-00010,Denise,Lucas,Denise Lucas,powellmatthew@example.org,933.587.2624,South Lindseyside,13334,Spain,True
11,CON-00011,Brent,Kidd,Brent Kidd,novaksara@example.org,(267)873-6026,Saramouth,37889,Spain,True
12,CON-00012,Rodney,Bernard,Rodney Bernard,smoore@example.org,4982050097,Port Jacobland,89002,Spain,True
13,CON-00013,Michelle,Powell,Michelle Powell,bethwilliams@example.org,(799)385-4353x46247,South Christineshire,13605,Spain,True
14,CON-00014,Charles,Lewis,Charles Lewis,david51@example.org,(442)678-4980x841,North Juliaberg,36198,Spain,True
15,CON-00015,Juan,Clark,Juan Clark,james48@example.com,801-264-0052x427,North Sierraberg,72012,Spain,True
16,CON-00016,Barry,Wood,Barry Wood,russellwilliams@example.com,4535315869,Port Lisa,54541,Spain,True
17,CON-00017,Angel,Doyle,Angel Doyle,kimberly63@example.com,(616)507-3375,North Donna,52728,Spain,False
18,CON-00018,Mark,Lin,Mark Lin,michael86@example.net,+1-350-814-2940,Jessicamouth,57700,Spain,True
19,CON-00019,Catherine,Dixon,Catherine Dixon,mlam@example.com,7607883561,Lake Rachelhaven,41039,Spain,False
20,CON-00020,Elizabeth,Nguyen,Elizabeth Nguyen,angela36@example.net,(729)994-6804x4369,Ramosborough,67501,Spain,True
21,CON-00021,Thomas,Santana,Thomas Santana,donnacampbell@example.net,+1-395-913-4332x0037,Mercadoshire,25986,Spain,True
22,CON-00022,Jennifer,Cruz,Jennifer Cruz,psanchez@example.net,5163328708,Andersonmouth,88001,Spain,True
23,CON-00023,Amanda,Hansen,Amanda Hansen,stephanie79@example.net,968.372.7743x48734,Jimmymouth,42405,Spain,False
24,CON-00024,Patricia,Miller,Patricia Miller,jessebenson@example.net,516.865.8760,Steinshire,91664,Spain,True
